,Log_21052021_213334.csv,,,,,,,
,,,,,,,,,
No.,Time,Current (A),Power (W),Energy (kWh),Room  temp. (degC),Room humidity (%),Enviroment temp. (degC),Environment humidity (%)
1,21/05/2021 21:34:34,0.2775,13.36667,0,23.70833,73.29166,27.80833,76.22501
2,21/05/2021 21:35:34,0.25,2.733333,0,23.925,74.55834,27.80833,75.975
3,21/05/2021 21:36:34,0.1758333,1.741667,0,24.2,75.96667,27.78333,76.35
4,21/05/2021 21:37:34,0.04,0,0,24.45455,77.05453,27.74545,75.99091
5,21/05/2021 21:38:34,0.04,0,0,24.61667,78.00834,27.73334,76.16667
6,21/05/2021 21:39:34,0.04,0,0,24.81539,78.75385,27.68462,76.43847
7,21/05/2021 21:40:34,0.04,0,0,24.95833,79.175,27.65833,76.25834
8,21/05/2021 21:41:34,0.04,0,0,25.09167,79.59167,27.66667,76.44166
9,21/05/2021 21:42:34,2.599167,521.0916,0.008,25.175,79.675,27.63334,76.475
10,21/05/2021 21:43:34,3.139091,659.3636,0.019,25.02727,79.48182,27.6,76.89091
11,21/05/2021 21:44:34,3.189167,668.4666,0.03,24.65,78.40833,27.61667,76.66666
12,21/05/2021 21:45:34,3.253333,681.7917,0.042,24.075,76.50833,27.64167,76.425
13,21/05/2021 21:46:34,3.284167,687.7416,0.054,23.58333,73.96667,27.69167,76.35
14,21/05/2021 21:47:34,3.261667,682.3333,0.066,23.05833,71.51666,27.75833,76.35833
15,21/05/2021 21:48:34,3.256667,682.3084,0.078,22.58333,69.20834,27.8,76.27501
16,21/05/2021 21:49:34,3.265455,684.891,0.088,22.16364,67.25455,27.80909,75.89999
17,21/05/2021 21:50:34,3.276666,687.325,0.1,21.83333,66.14167,27.825,76.06667
18,21/05/2021 21:51:34,3.255833,681.3084,0.112,21.59167,65.23333,27.825,75.85001
19,21/05/2021 21:52:34,3.25,680.8834,0.124,21.325,64.50834,27.775,75.91667
20,21/05/2021 21:53:34,3.259166,682.15,0.135,21.125,64.00834,27.7,75.61666
21,21/05/2021 21:54:34,3.279166,688.0417,0.147,20.95833,64.00834,27.64167,75.77501
22,21/05/2021 21:55:34,3.26,683.8273,0.158,20.89091,63.70909,27.64545,75.63636
23,21/05/2021 21:56:34,3.244166,681.3833,0.17,20.75833,63.325,27.59167,75.8
24,21/05/2021 21:57:34,3.266667,686.3749,0.181,20.63334,63.21667,27.60834,75.775
25,21/05/2021 21:58:34,3.27,686.8,0.193,20.6,63,27.60834,75.7
26,21/05/2021 21:59:34,3.278334,687.5999,0.205,20.53333,63.11666,27.66667,75.9
27,21/05/2021 22:00:34,3.233334,680.075,0.216,20.48333,63.20834,27.63333,75.72501
28,21/05/2021 22:01:34,3.191818,678.8636,0.227,20.38182,63.36364,27.54545,75.69092
29,21/05/2021 22:02:34,3.205833,682.9167,0.239,20.325,63.26667,27.5,75.65
30,21/05/2021 22:03:34,3.1925,681.5334,0.25,20.3,63.50833,27.525,75.89999
31,21/05/2021 22:04:34,3.2125,679.2583,0.262,20.29167,63.675,27.58334,75.96667
32,21/05/2021 22:05:34,3.215833,683.1334,0.273,20.28333,63.98333,27.51667,75.55
33,21/05/2021 22:06:34,3.22,679.1166,0.285,20.275,63.98333,27.48333,75.84167
34,21/05/2021 22:07:34,3.246364,683.0364,0.296,20.26364,64.2,27.47272,75.76364
35,21/05/2021 22:08:34,3.2525,686.1667,0.307,20.225,64.225,27.45,75.55834
36,21/05/2021 22:09:34,3.245834,684.6584,0.319,20.26667,64.23335,27.48333,75.55
37,21/05/2021 22:10:34,3.2225,679.05,0.331,20.2,64.08334,27.45,75.66666
38,21/05/2021 22:11:34,3.226667,678.4167,0.342,20.06667,63.69167,27.43333,75.58333
39,21/05/2021 22:12:34,3.225,679.075,0.354,19.95,63.63333,27.40833,75.40833
40,21/05/2021 22:13:34,3.265455,687.0181,0.364,19.91818,63.9,27.4,75.58182
41,21/05/2021 22:14:34,3.243334,681.9667,0.376,19.95833,63.86667,27.41666,75.34167
42,21/05/2021 22:15:34,3.2475,681.2834,0.387,19.93333,63.79167,27.38333,75.725
43,21/05/2021 22:16:34,3.2375,678.25,0.399,19.9,63.96666,27.35,75.65
44,21/05/2021 22:17:34,3.268333,685.3583,0.411,19.91667,64.08334,27.30833,75.70834
45,21/05/2021 22:18:34,3.2825,687.925,0.422,19.95833,64.35835,27.35,75.60833
46,21/05/2021 22:19:34,3.270909,687.2364,0.433,20,64.6,27.38182,75.92727
47,21/05/2021 22:20:34,3.243333,683.3583,0.445,19.975,64.58334,27.38333,76
48,21/05/2021 22:21:34,3.230833,680.4417,0.456,19.89166,64.34167,27.375,75.90834
49,21/05/2021 22:22:34,3.188334,669.7333,0.468,19.78333,64.175,27.30833,75.53333
50,21/05/2021 22:23:34,3.203333,672.5334,0.479,19.68333,64.475,27.125,75.46667
