,Log_21052021_195425.csv,,,,,,,
,,,,,,,,,
No.,Time,Current (A),Power (W),Energy (kWh),Room  temp. (degC),Room humidity (%),Enviroment temp. (degC),Environment humidity (%)
1,21/05/2021 19:55:25,0,2.990909,0,28.27272,66.45455,32.44545,57.56364
2,21/05/2021 19:56:25,0,2.990909,0,28.55455,68.00909,32.43636,57.26364
3,21/05/2021 19:57:25,0,3.008333,0,28.63334,68.025,32.43333,57.28333
4,21/05/2021 19:58:25,0,3.008333,0,28.75833,68.05833,32.46666,57.38334
5,21/05/2021 19:59:25,0,3.016667,0,28.84167,67.96667,32.475,57.25833
6,21/05/2021 20:00:25,0,3.015384,0,28.96154,67.86923,32.47692,57.38462
7,21/05/2021 20:01:25,0,3.008333,0,29.05,67.55833,32.475,57.39167
8,21/05/2021 20:02:25,0.4718182,105.3273,0.001,29.10909,67.50909,32.45454,57.36364
9,21/05/2021 20:03:25,3.239167,707.5251,0.013,29.11667,67.11667,32.46667,57.43333
10,21/05/2021 20:04:25,3.159167,688.9333,0.025,28.975,65.99167,32.44166,57.45
11,21/05/2021 20:05:25,3.169167,691.2584,0.037,28.70833,64.25001,32.41666,57.55
12,21/05/2021 20:06:25,3.165833,690.95,0.048,28.48333,62.74167,32.43333,57.425
13,21/05/2021 20:07:25,3.105,677.0667,0.06,28.3,61.24167,32.425,57.25833
14,21/05/2021 20:08:25,3.132728,682.5364,0.071,28.09091,60.23637,32.41818,57.4
15,21/05/2021 20:09:25,3.135834,683.7417,0.082,27.93333,59.175,32.43333,57.27501
16,21/05/2021 20:10:25,3.1625,690.7083,0.094,27.825,58.40834,32.45,57.19167
17,21/05/2021 20:11:25,3.135,685.3833,0.105,27.68333,57.575,32.40833,57.375
18,21/05/2021 20:12:25,3.1325,683.7,0.117,27.55833,57.00833,32.44167,57.425
19,21/05/2021 20:13:25,3.096364,675.3363,0.128,27.43636,56.47273,32.46364,57.31819
20,21/05/2021 20:14:25,3.105,677.15,0.139,27.375,56.14166,32.425,57.40001
21,21/05/2021 20:15:25,3.086667,676.1666,0.15,27.3,56.05833,32.43333,57.28334
22,21/05/2021 20:16:25,3.0875,677.0583,0.162,27.24167,55.90001,32.48333,57.26666
23,21/05/2021 20:17:25,3.105834,679.7,0.173,27.15,55.76666,32.45,57.41667
24,21/05/2021 20:18:25,3.15,689.8499,0.185,27.1,55.825,32.45,57.33333
25,21/05/2021 20:19:25,3.148182,688.9908,0.196,27.06364,55.76364,32.46363,57.32727
26,21/05/2021 20:20:25,3.1575,691.775,0.208,27,55.875,32.46666,57.275
27,21/05/2021 20:21:25,3.163333,691.6333,0.219,26.99167,55.925,32.49166,57.475
28,21/05/2021 20:22:25,3.171667,692.925,0.231,26.96667,56.05834,32.48333,57.54167
29,21/05/2021 20:23:25,3.114166,680.0084,0.243,26.90833,55.99167,32.475,57.525
30,21/05/2021 20:24:25,3.124166,683.1833,0.254,26.85833,55.88334,32.475,57.41667
31,21/05/2021 20:25:25,3.086364,675.7,0.265,26.83636,55.90909,32.49091,57.45454
32,21/05/2021 20:26:25,3.059167,667.875,0.276,26.775,55.86666,32.51667,57.4
33,21/05/2021 20:27:25,3.07,671.6,0.287,26.76667,55.80833,32.48333,57.5
34,21/05/2021 20:28:25,3.120833,682.0083,0.299,26.70833,55.63333,32.51667,57.28334
35,21/05/2021 20:29:25,3.109167,679.9666,0.31,26.69167,55.64166,32.5,57.4
36,21/05/2021 20:30:25,3.095,677.0417,0.322,26.63334,55.49167,32.51667,57.33333
37,21/05/2021 20:31:25,3.122727,681.9454,0.332,26.60909,55.55454,32.52728,57.29091
38,21/05/2021 20:32:25,3.066667,669.0167,0.344,26.6,55.5,32.50834,57.23334
39,21/05/2021 20:33:25,3.091666,674.725,0.355,26.55,55.44167,32.51667,57.33333
40,21/05/2021 20:34:25,3.090834,677.3832,0.367,26.525,55.33333,32.53334,57.2
41,21/05/2021 20:35:25,3.065833,671.975,0.378,26.5,55.36666,32.5,57.375
42,21/05/2021 20:36:25,3.072727,673.1454,0.389,26.47272,55.35455,32.51818,57.25454
43,21/05/2021 20:37:25,3.063333,672.6334,0.4,26.40833,55.33333,32.50834,57.30833
44,21/05/2021 20:38:25,3.040833,669.225,0.411,26.4,55.29167,32.51667,57.23334
45,21/05/2021 20:39:25,3.046666,670.7667,0.423,26.34167,55.24167,32.525,57.31667
46,21/05/2021 20:40:25,3.006667,659.5583,0.434,26.31667,55.27501,32.50834,57.43333
47,21/05/2021 20:41:25,3.005,660.075,0.445,26.26667,55.13334,32.49166,57.35833
48,21/05/2021 20:42:25,3.016364,663.0182,0.455,26.22727,55.08182,32.5,57.32727
49,21/05/2021 20:43:25,3.0275,666.8334,0.467,26.14167,55.1,32.51667,57.325
50,21/05/2021 20:44:25,3.071667,670.225,0.478,26.10834,54.95833,32.525,57.40834
